                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5482,                 3.5365,                 2.8085,                0.34664,                0.13152,                0.09893,                0.03891,                 2.4672,                 3.2074,                 2.8419,               0.067011,             0.00033322,             0.00033322
                      2,                 1.9794,                 2.7894,                 2.2861,                0.24362,                0.25013,                0.17591,                0.08109,                 2.0529,                 2.8146,                 2.5113,               0.034004,             0.00065996,             0.00065996
                      3,                 1.8155,                 2.5293,                 2.1258,                0.44307,                0.24403,                0.21557,                0.09558,                 2.0334,                 2.5377,                 2.4369,             0.00099126,             0.00098009,             0.00098009
                      4,                 1.7352,                 2.3905,                  2.047,                0.43057,                0.32164,                 0.3075,                0.14567,                 1.9639,                 2.2401,                 2.3678,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.681,                 2.2654,                 1.9927,                0.40536,                0.36322,                0.32518,                0.15783,                 1.9004,                 2.1393,                 2.3008,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.641,                 2.1824,                 1.9567,                0.42534,                 0.3979,                0.34197,                0.16854,                 1.8934,                 2.1333,                 2.3513,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.6117,                 2.1291,                 1.9308,                0.41322,                0.40447,                0.33794,                0.16848,                  1.865,                 2.0824,                 2.2786,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5817,                 2.0691,                  1.911,                0.48591,                0.40583,                0.37415,                0.18704,                 1.8262,                 2.0122,                 2.2622,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5663,                 2.0427,                 1.8998,                0.47378,                0.43201,                0.38546,                0.19723,                 1.8144,                 1.9654,                 2.2559,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5429,                  1.985,                 1.8726,                0.49445,                0.43565,                0.40232,                0.20974,                 1.8098,                 1.8802,                  2.249,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5345,                 1.9637,                  1.864,                0.47523,                 0.4693,                0.41852,                 0.2173,                    1.8,                 1.8847,                 2.2364,              0.0009109,              0.0009109,              0.0009109
