                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1814,                 3.1329,                  2.343,                 0.2415,                0.14721,                 0.1062,                0.03755,                 3.0486,                 3.2283,                 2.3638,               0.067007,             0.00033326,             0.00033326
                      2,                 2.5578,                 2.6329,                 1.9843,                0.38755,                0.22997,                0.19517,                0.07857,                 2.7042,                 3.0048,                 2.2269,               0.034001,             0.00065999,             0.00065999
                      3,                 2.2028,                  2.222,                 1.8047,                0.34233,                0.38589,                0.21204,                0.08476,                 2.5211,                 3.5772,                 2.1949,             0.00098741,             0.00098013,             0.00098013
                      4,                 2.0377,                 1.9829,                 1.7103,                0.45024,                0.39547,                 0.2784,                0.11848,                 2.4195,                 2.8352,                 2.0946,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9456,                 1.8189,                 1.6518,                0.45367,                0.43641,                 0.2839,                0.11807,                 2.3964,                 2.8704,                 2.0879,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.8811,                 1.7478,                   1.62,                0.53346,                0.46864,                0.33912,                0.14329,                 2.3546,                 2.4448,                 2.1073,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.8333,                 1.6688,                 1.5917,                0.48405,                0.44425,                0.30878,                0.13699,                 2.3002,                 2.4532,                 2.0472,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7925,                 1.6139,                 1.5657,                0.49806,                0.48519,                0.32811,                0.14565,                 2.2646,                 2.4754,                 2.0098,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.7657,                 1.5484,                 1.5411,                0.49349,                0.50174,                 0.3385,                0.14548,                 2.2779,                 2.5504,                 2.0101,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.7134,                  1.499,                 1.5258,                0.49965,                0.47997,                0.33669,                0.15144,                 2.2792,                 2.3619,                 2.0463,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.7123,                 1.5051,                 1.5201,                0.49454,                0.51829,                0.33724,                0.14663,                 2.2351,                 2.6269,                 2.0007,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6927,                 1.4811,                 1.5128,                0.55161,                0.53397,                0.37467,                0.16416,                   2.22,                  2.311,                 2.0174,               0.000901,               0.000901,               0.000901
                     13,                 1.6455,                 1.4311,                 1.4907,                0.54392,                0.53812,                0.37081,                 0.1606,                 2.2447,                 2.3764,                 2.0464,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6681,                 1.4151,                  1.495,                0.53997,                0.54965,                0.37771,                0.17059,                 2.2382,                 2.2582,                 2.0257,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.6428,                 1.4222,                 1.4768,                 0.5386,                0.53384,                0.36654,                0.16723,                 2.2063,                 2.4699,                 2.0139,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.6572,                 1.4009,                 1.4897,                0.53802,                0.55662,                0.38952,                0.17244,                 2.2271,                 2.1572,                 2.0449,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.6301,                 1.3702,                 1.4747,                0.55009,                0.52875,                0.37754,                0.16771,                 2.1954,                 2.2291,                 2.0309,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.6182,                 1.3652,                 1.4666,                0.56807,                0.55662,                0.40713,                0.18166,                 2.2147,                 2.0779,                 2.0051,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.5999,                  1.362,                 1.4604,                 0.5597,                0.55139,                0.38557,                0.17356,                 2.1693,                 2.5347,                 2.0029,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.5884,                 1.3434,                 1.4516,                0.62883,                0.55052,                0.44542,                0.20231,                 2.1584,                 1.9252,                 1.9685,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.5897,                 1.3325,                 1.4496,                 0.5741,                0.57653,                0.41688,                0.18449,                 2.2005,                 2.0632,                 2.0177,              0.0008119,              0.0008119,              0.0008119
                     22,                  1.574,                 1.3144,                 1.4461,                0.58467,                0.56446,                0.42678,                0.19296,                 2.1845,                 2.1153,                 1.9922,               0.000802,               0.000802,               0.000802
                     23,                 1.5698,                 1.3072,                 1.4488,                0.59188,                0.56882,                0.43994,                0.19682,                 2.1831,                 2.0071,                 1.9932,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.5685,                 1.2861,                 1.4423,                0.62131,                0.57666,                0.44562,                0.20849,                 2.1827,                 2.0071,                 2.0053,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.5654,                  1.293,                 1.4321,                0.58645,                0.57056,                0.43912,                0.20134,                   2.18,                 2.0675,                 1.9873,              0.0007723,              0.0007723,              0.0007723
                     26,                  1.551,                 1.2825,                  1.434,                0.58357,                0.58537,                0.44205,                0.20136,                 2.1691,                 1.9923,                 1.9913,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.5474,                 1.2669,                 1.4286,                0.61367,                0.58101,                0.44827,                0.20713,                 2.1699,                 2.0967,                 2.0131,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.5395,                 1.2527,                 1.4251,                0.59866,                0.58798,                0.44142,                0.20381,                 2.1714,                 1.8919,                 2.0087,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.5369,                 1.2714,                 1.4191,                0.57035,                0.57354,                0.42416,                0.19219,                 2.1865,                 2.0024,                 2.0231,              0.0007327,              0.0007327,              0.0007327
